year,corp_code,corp_name,audit_contract_fee,audit_actual_fee,audit_contract_hours,audit_actual_hours,audit_evidence_rcept_no,override_status,override_reason
2024,01398151,밸로프,__NULL__,__NULL__,840,804,20250318000970,source_conflict_excluded,million_won_header_conflicts_with_prior_explicit_man_won
2025,01398151,밸로프,__NULL__,__NULL__,840,856,20260318001700,source_conflict_excluded,million_won_header_conflicts_with_prior_explicit_man_won
2023,00133317,에스티씨라이프,__NULL__,__NULL__,31,31,20240329001512,source_conflict_excluded,no_unit_and_stale_period_description
2024,00133317,에스티씨라이프,__NULL__,__NULL__,31,31,20250331000597,source_conflict_excluded,million_won_header_conflicts_with_history_and_stale_description
2025,00133317,에스티씨라이프,__NULL__,__NULL__,31,31,20260331002326,source_conflict_excluded,million_won_header_conflicts_with_history_and_stale_description
2023,00611286,블루탑,__NULL__,__NULL__,400,400,20240321001467,source_conflict_excluded,no_fee_unit
2024,00611286,블루탑,__NULL__,__NULL__,400,360,20250321000943,source_conflict_excluded,million_won_header_conflicts_with_history_and_hourly_rate
2025,00611286,블루탑,__NULL__,__NULL__,400,359,20260323001028,source_conflict_excluded,million_won_header_conflicts_with_history_and_hourly_rate
2023,00232317,지오엠씨,__NULL__,__NULL__,165,165,20240329002481,source_conflict_excluded,no_fee_unit
2024,00232317,지오엠씨,__NULL__,__NULL__,103,103,20250325000520,source_conflict_excluded,million_won_header_conflicts_with_history_and_hourly_rate
2025,00232317,지오엠씨,__NULL__,__NULL__,103,103,20260326000986,source_conflict_excluded,million_won_header_conflicts_with_history_and_hourly_rate
2023,01294891,파워보이스,__NULL__,__NULL__,102,102,20240329000791,source_conflict_excluded,no_fee_unit
2024,01294891,파워보이스,__NULL__,__NULL__,102,90,20250331001662,source_conflict_excluded,no_fee_unit
2025,01294891,파워보이스,__NULL__,__NULL__,120,90,20260330000616,source_conflict_excluded,million_won_header_conflicts_with_history_and_hourly_rate
2025,01416235,고스트스튜디오,__NULL__,__NULL__,3728,3728,20260320001080,foreign_currency_excluded,foreign_currency_fee
2025,00799070,딥커머스,__NULL__,__NULL__,2474,2474,20260429001114,foreign_currency_excluded,foreign_currency_fee
2025,01139266,로스웰,__NULL__,__NULL__,__NULL__,1014,20260429000193,foreign_currency_excluded,foreign_currency_fee
2025,00956028,엑세스바이오,__NULL__,__NULL__,1900,1905,20260623000058,foreign_currency_excluded,foreign_currency_fee
2025,01160512,헝셩그룹,__NULL__,__NULL__,__NULL__,1127,20260430000392,foreign_currency_excluded,foreign_currency_fee
2025,01170962,GRT,__NULL__,__NULL__,__NULL__,3460,20251023000250,foreign_currency_excluded,RMB_fee
2025,01169434,오가닉티코스메틱,__NULL__,__NULL__,__NULL__,1246,20260430001581,foreign_currency_excluded,CNY_fee
2025,01328639,윙입푸드,__NULL__,__NULL__,__NULL__,2221,20260429001131,foreign_currency_excluded,RMB_fee_and_two_hour_components
